
full_name,html_url,stargazers_count,topics,watchers
JetBrains/JPS,https://github.com/JetBrains/JPS,23,[],23
JetBrains/YouTrackSharp,https://github.com/JetBrains/YouTrackSharp,115,"[jetbrains, jetbrains-youtrack, youtrack, youtrack-api]",115
JetBrains/colorSchemeTool,https://github.com/JetBrains/colorSchemeTool,290,[],290
JetBrains/ideavim,https://github.com/JetBrains/ideavim,6120,"[ideavim, intellij, intellij-platform, jb-official, kotlin, vim, vim-emulator]",6120
JetBrains/youtrack-vcs-hooks,https://github.com/JetBrains/youtrack-vcs-hooks,5,[],5
JetBrains/youtrack-rest-ruby-library,https://github.com/JetBrains/youtrack-rest-ruby-library,8,[],8
JetBrains/emacs4ij,https://github.com/JetBrains/emacs4ij,47,[],47
JetBrains/codereview4intellij,https://github.com/JetBrains/codereview4intellij,11,[],11
JetBrains/teamcity-nuget-support,https://github.com/JetBrains/teamcity-nuget-support,41,"[nuget, nuget-feed, teamcity, teamcity-plugin]",41
JetBrains/Grammar-Kit,https://github.com/JetBrains/Grammar-Kit,534,[],534
JetBrains/intellij-starteam-plugin,https://github.com/JetBrains/intellij-starteam-plugin,6,[],6
JetBrains/la-clojure,https://github.com/JetBrains/la-clojure,218,[],218
JetBrains/MPS,https://github.com/JetBrains/MPS,1241,"[domain-specific-language, dsl]",1241
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community,12926,"[code-editor, ide, intellij, intellij-community, intellij-platform]",12926
JetBrains/TeamCity.ServiceMessages,https://github.com/JetBrains/TeamCity.ServiceMessages,39,"[c-sharp, teamcity, teamcity-service-messages]",39
JetBrains/youtrack-rest-python-library,https://github.com/JetBrains/youtrack-rest-python-library,118,[],118
JetBrains/intellij-scala,https://github.com/JetBrains/intellij-scala,1066,"[intellij-idea, intellij-plugin, scala]",1066
JetBrains/teamcity-messages,https://github.com/JetBrains/teamcity-messages,125,[],125
JetBrains/teamcity-cpp,https://github.com/JetBrains/teamcity-cpp,27,[],27
JetBrains/kotlin,https://github.com/JetBrains/kotlin,39402,"[compiler, gradle-plugin, intellij-plugin, kotlin, kotlin-library, maven-plugin, programming-language]",39402
JetBrains/teamcity-local-cloud,https://github.com/JetBrains/teamcity-local-cloud,10,[],10
JetBrains/kotlin-web-demo,https://github.com/JetBrains/kotlin-web-demo,167,[],167
JetBrains/intellij-plugin-verifier,https://github.com/JetBrains/intellij-plugin-verifier,113,[],113
JetBrains/intellij-samples,https://github.com/JetBrains/intellij-samples,146,[],146
JetBrains/dottrace-demos,https://github.com/JetBrains/dottrace-demos,6,[],6
JetBrains/youtrack-workflows,https://github.com/JetBrains/youtrack-workflows,164,[],164
JetBrains/intellij-plugins,https://github.com/JetBrains/intellij-plugins,1737,[],1737
JetBrains/youtrack-slide,https://github.com/JetBrains/youtrack-slide,18,[],18
JetBrains/teamcity-shared-resources,https://github.com/JetBrains/teamcity-shared-resources,4,[],4
JetBrains/resharper-plugins,https://github.com/JetBrains/resharper-plugins,12,"[jetbrains, resharper, resharper-plugin]",12
JetBrains/kannotator,https://github.com/JetBrains/kannotator,34,[],34
JetBrains/resharper-nuget,https://github.com/JetBrains/resharper-nuget,94,"[jetbrains, nuget, resharper, resharper-extension, resharper-plugin]",94
JetBrains/mnemonics,https://github.com/JetBrains/mnemonics,66,"[jetbrains, mnemonic, resharper, resharper-extension, resharper-plugin]",66
JetBrains/teamcity-queue-pauser,https://github.com/JetBrains/teamcity-queue-pauser,2,[],2
JetBrains/intellij-coffee-script-debugger,https://github.com/JetBrains/intellij-coffee-script-debugger,2,[],2
JetBrains/coffee-script-debug-example,https://github.com/JetBrains/coffee-script-debug-example,5,[],5
