
columns,data,id
id,412223567,0
secid,AAL-RM,0
shortname,AmAirlines,0
regnumber,,0
name,American Airlines Group Inc.,0
isin,US02376R1023,0
is_traded,1,0
emitent_id,1375083,0
emitent_title,American Airlines Group Inc.,0
emitent_inn,0000004968,0
emitent_okpo,,0
gosreg,,0
type,common_share,0
group,stock_shares,0
primary_boardid,FQBR,0
marketprice_boardid,FQBR,0
id,411886643,1
secid,AAPL-RM,1
shortname,Apple,1
regnumber,,1
name,Apple Inc.,1
isin,US0378331005,1
is_traded,1,1
emitent_id,1281003,1
emitent_title,Apple Inc,1
emitent_inn,,1
emitent_okpo,,1
gosreg,,1
type,common_share,1
group,stock_shares,1
primary_boardid,FQBR,1
marketprice_boardid,FQBR,1
id,412223569,2
secid,ABBV-RM,2
shortname,AbbVie,2
regnumber,,2
name,AbbVie Inc.,2
isin,US00287Y1091,2
is_traded,1,2
emitent_id,1375081,2
emitent_title,AbbVie Inc.,2
emitent_inn,0000004967,2
emitent_okpo,,2
gosreg,,2
type,common_share,2
group,stock_shares,2
primary_boardid,FQBR,2
marketprice_boardid,FQBR,2
id,12441,3
secid,ABRD,3
shortname,АбрауДюрсо,3
regnumber,1-02-12500-A,3
name,Абрау-Дюрсо ПАО ао,3
isin,RU000A0JS5T7,3
is_traded,1,3
emitent_id,2556,3
emitent_title,"Публичное акционерное общество ""Абрау – Дюрсо""",3
emitent_inn,7727620673,3
emitent_okpo,81521198,3
gosreg,1-02-12500-A,3
type,common_share,3
group,stock_shares,3
primary_boardid,TQBR,3
marketprice_boardid,TQBR,3
id,412408281,4
secid,ABT-RM,4
shortname,Abbott,4
regnumber,,4
name,Abbott Laboratories,4
isin,US0028241000,4
is_traded,1,4
emitent_id,1375165,4
emitent_title,Abbot Laboratories,4
emitent_inn,0000005004,4
emitent_okpo,,4
gosreg,,4
type,common_share,4
group,stock_shares,4
primary_boardid,FQBR,4
marketprice_boardid,FQBR,4
id,131568,5
secid,ACKO,5
shortname,АСКО ао,5
regnumber,1-01-52065-Z,5
name,АСКО-СТРАХОВАНИЕ ПАО ао,5
isin,RU000A0JXS91,5
is_traded,1,5
emitent_id,1098705,5
emitent_title,"Публичное акционерное общество ""АСКО-СТРАХОВАНИЕ""",5
emitent_inn,7453297458,5
emitent_okpo,31212003,5
gosreg,1-01-52065-Z,5
type,common_share,5
group,stock_shares,5
primary_boardid,TQBR,5
marketprice_boardid,TQBR,5
id,85909,6
secid,acru,6
shortname,"ОАО АК ""Рубин""",6
regnumber,1-03-01692-A,6
name,"Открытое акционерное общество ""Авиационная корпорация ""Рубин""",6
isin,RU000A0JRM20,6
is_traded,1,6
emitent_id,486957,6
emitent_title,"публичное акционерное общество ""Авиационная корпорация ""Рубин""",6
emitent_inn,5001000034,6
emitent_okpo,,6
gosreg,1-03-01692-A,6
type,common_share,6
group,stock_shares,6
primary_boardid,MXBD,6
marketprice_boardid,,6
id,412223571,7
secid,ADBE-RM,7
shortname,Adobe,7
regnumber,,7
name,Adobe Inc.,7
isin,US00724F1012,7
is_traded,1,7
emitent_id,1375103,7
emitent_title,Adobe Inc.,7
emitent_inn,0000004978,7
emitent_okpo,,7
gosreg,,7
type,common_share,7
group,stock_shares,7
primary_boardid,FQBR,7
marketprice_boardid,FQBR,7
id,412048983,8
secid,AF4500BC1,8
shortname,AFLT-3.21M170321CA4500,8
regnumber,,8
name,Марж. амер. Call 4500 с исп. 17 марта на фьюч. контр. AFLT-3.21,8
isin,,8
is_traded,1,8
emitent_id,1300,8
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",8
emitent_inn,7712040126,8
emitent_okpo,29063984,8
gosreg,,8
type,option,8
group,futures_options,8
primary_boardid,ROPD,8
marketprice_boardid,,8
id,412801865,9
secid,AF4500BD1,9
shortname,AFLT-6.21M140421CA4500,9
regnumber,,9
name,Марж. амер. Call 4500 с исп. 14 апр. на фьюч. контр. AFLT-6.21,9
isin,,9
is_traded,1,9
emitent_id,1300,9
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",9
emitent_inn,7712040126,9
emitent_okpo,29063984,9
gosreg,,9
type,option,9
group,futures_options,9
primary_boardid,ROPD,9
marketprice_boardid,,9
id,412884107,10
secid,AF4500BE1,10
shortname,AFLT-6.21M190521CA4500,10
regnumber,,10
name,Марж. амер. Call 4500 с исп. 19 мая на фьюч. контр. AFLT-6.21,10
isin,,10
is_traded,1,10
emitent_id,1300,10
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",10
emitent_inn,7712040126,10
emitent_okpo,29063984,10
gosreg,,10
type,option,10
group,futures_options,10
primary_boardid,ROPD,10
marketprice_boardid,,10
id,412558171,11
secid,AF4500BF1,11
shortname,AFLT-6.21M160621CA4500,11
regnumber,,11
name,Марж. амер. Call 4500 с исп. 16 июня на фьюч. контр. AFLT-6.21,11
isin,,11
is_traded,1,11
emitent_id,1300,11
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",11
emitent_inn,7712040126,11
emitent_okpo,29063984,11
gosreg,,11
type,option,11
group,futures_options,11
primary_boardid,ROPD,11
marketprice_boardid,,11
id,412048985,12
secid,AF4500BO1,12
shortname,AFLT-3.21M170321PA4500,12
regnumber,,12
name,Марж. амер. Put 4500 с исп. 17 марта на фьюч. контр. AFLT-3.21,12
isin,,12
is_traded,1,12
emitent_id,1300,12
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",12
emitent_inn,7712040126,12
emitent_okpo,29063984,12
gosreg,,12
type,option,12
group,futures_options,12
primary_boardid,ROPD,12
marketprice_boardid,,12
id,412801867,13
secid,AF4500BP1,13
shortname,AFLT-6.21M140421PA4500,13
regnumber,,13
name,Марж. амер. Put 4500 с исп. 14 апр. на фьюч. контр. AFLT-6.21,13
isin,,13
is_traded,1,13
emitent_id,1300,13
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",13
emitent_inn,7712040126,13
emitent_okpo,29063984,13
gosreg,,13
type,option,13
group,futures_options,13
primary_boardid,ROPD,13
marketprice_boardid,,13
id,412884109,14
secid,AF4500BQ1,14
shortname,AFLT-6.21M190521PA4500,14
regnumber,,14
name,Марж. амер. Put 4500 с исп. 19 мая на фьюч. контр. AFLT-6.21,14
isin,,14
is_traded,1,14
emitent_id,1300,14
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",14
emitent_inn,7712040126,14
emitent_okpo,29063984,14
gosreg,,14
type,option,14
group,futures_options,14
primary_boardid,ROPD,14
marketprice_boardid,,14
id,412558173,15
secid,AF4500BR1,15
shortname,AFLT-6.21M160621PA4500,15
regnumber,,15
name,Марж. амер. Put 4500 с исп. 16 июня на фьюч. контр. AFLT-6.21,15
isin,,15
is_traded,1,15
emitent_id,1300,15
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",15
emitent_inn,7712040126,15
emitent_okpo,29063984,15
gosreg,,15
type,option,15
group,futures_options,15
primary_boardid,ROPD,15
marketprice_boardid,,15
id,412040591,16
secid,AF4750BC1,16
shortname,AFLT-3.21M170321CA4750,16
regnumber,,16
name,Марж. амер. Call 4750 с исп. 17 марта на фьюч. контр. AFLT-3.21,16
isin,,16
is_traded,1,16
emitent_id,1300,16
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",16
emitent_inn,7712040126,16
emitent_okpo,29063984,16
gosreg,,16
type,option,16
group,futures_options,16
primary_boardid,ROPD,16
marketprice_boardid,,16
id,412709355,17
secid,AF4750BD1,17
shortname,AFLT-6.21M140421CA4750,17
regnumber,,17
name,Марж. амер. Call 4750 с исп. 14 апр. на фьюч. контр. AFLT-6.21,17
isin,,17
is_traded,1,17
emitent_id,1300,17
emitent_title,"Публичное акционерное общество ""Аэрофлот – российские авиалинии""",17
emitent_inn,7712040126,17
emitent_okpo,29063984,17
gosreg,,17
type,option,17
group,futures_options,17
primary_boardid,ROPD,17
marketprice_boardid,,17
id,412884111,18
secid,AF4750BE1,18
shortname,AFLT-6.21M190521CA4750,18
regnumber,,18
name,Марж. амер. Call 4750 с исп. 19 мая на фьюч. контр. AFLT-6.21,18
isin,,18
is_traded,1,18
emitent_id,1300,18
