Company,Period,Revenue,Net Income,Liabilities,Assets,Equity,ROA (%),ROE (%),Debt to Equity,percentage  Debt to Equity
Volkswagen AG,12/31/2017,9750496618,516889818.4,21354201295,54861302788,33507101493,942.175.618,1.542.627.668,637.303.746,"0,00%"
Siemens AG,12/31/2017,19716237464,1276840007,45009303223,75268101508,30258798286,1.696.389.282,4.219.731.382,1.487.478.214,"283,68%"
Allianz SE,12/31/2017,19458831198,1600107100,48538978480,69583711255,21044732775,2.299.542.624,7.603.361.452,2.306.466.848,"329,65%"
BMW AG,12/31/2017,18808147150,960184349.6,35382107627,67327482638,31945375011,142.614.028,3.005.706.927,1.107.581.539,"0,00%"
BASF SE,12/31/2017,16895580815,1797081911,28309420014,68036567115,39727147101,2.641.347.127,4.523.561.449,71.259.635,"634,80%"
Deutsche Telekom AG,12/31/2017,11505351408,1425682028,36680109736,61941763399,25261653663,2.301.649.081,5.643.660.732,1.452.007.467,"388,68%"
Daimler AG,12/31/2017,17133317238,1743084807,19707492188,56381587968,36674095780,309.158.516,4.752.904.659,537.368.182,"884,48%"
SAP SE,12/31/2017,17560385805,2276360916,40828269592,73785136305,32956866713,3.085.121.245,6.907.091.429,123.883.954,"557,55%"
Bayer AG,12/31/2017,18251254610,2670535587,16524775630,29169852309,12645076680,915.512.207,2.111.917.274,130.681.498,"1616,08%"
Deutsche Bank AG,12/31/2017,9318303083,958508333.7,11123712659,49692010679,38568298020,1.928.898.269,2.485.223.313,288.415.959,"0,00%"
Porsche AG,12/31/2017,12119018742,894091080.3,28361763209,73909302825,45547539617,120.971.386,1.962.984.363,622.684.857,"0,00%"
Merck KGaA,12/31/2017,11760953647,812341476,29296072481,51828662312,22532589831,1.567.359.526,3.605.184.677,130.016.446,"277,29%"
Volkswagen AG,12/31/2018,15132692627,1296423798,22603216585,52612061095,30008844510,2.464.119.008,432.013.901,753.218.491,"573,56%"
