fullName,htmlUrl,stargazersCount,topics,watchers,topicCount,kind
JetBrains/colorSchemeTool,https://github.com/JetBrains/colorSchemeTool,290,[],290,0,Other
JetBrains/ideavim,https://github.com/JetBrains/ideavim,6120,"[ideavim, intellij, intellij-platform, jb-official, kotlin, vim, vim-emulator]",6120,7,Kotlin
JetBrains/Grammar-Kit,https://github.com/JetBrains/Grammar-Kit,534,[],534,0,Other
JetBrains/la-clojure,https://github.com/JetBrains/la-clojure,218,[],218,0,Other
JetBrains/MPS,https://github.com/JetBrains/MPS,1241,"[domain-specific-language, dsl]",1241,2,Other
JetBrains/intellij-community,https://github.com/JetBrains/intellij-community,12926,"[code-editor, ide, intellij, intellij-community, intellij-platform]",12926,5,IntelliJ
JetBrains/intellij-scala,https://github.com/JetBrains/intellij-scala,1066,"[intellij-idea, intellij-plugin, scala]",1066,3,IntelliJ
JetBrains/kotlin,https://github.com/JetBrains/kotlin,39402,"[compiler, gradle-plugin, intellij-plugin, kotlin, kotlin-library, maven-plugin, programming-language]",39402,7,Kotlin
JetBrains/kotlin-web-demo,https://github.com/JetBrains/kotlin-web-demo,167,[],167,0,Kotlin
JetBrains/youtrack-workflows,https://github.com/JetBrains/youtrack-workflows,164,[],164,0,Other
JetBrains/intellij-plugins,https://github.com/JetBrains/intellij-plugins,1737,[],1737,0,IntelliJ
JetBrains/jediterm,https://github.com/JetBrains/jediterm,483,[],483,0,Other
JetBrains/kotlin-eclipse,https://github.com/JetBrains/kotlin-eclipse,168,[],168,0,Kotlin
JetBrains/resharper-rider-samples,https://github.com/JetBrains/resharper-rider-samples,182,[],182,0,Other
JetBrains/meta-runner-power-pack,https://github.com/JetBrains/meta-runner-power-pack,247,[],247,0,Other
JetBrains/pty4j,https://github.com/JetBrains/pty4j,233,[],233,0,Other
JetBrains/Exposed,https://github.com/JetBrains/Exposed,5688,"[dao, kotlin, orm, sql]",5688,4,Kotlin
JetBrains/kotlin-web-site,https://github.com/JetBrains/kotlin-web-site,1074,[kotlin],1074,1,Kotlin
JetBrains/phpstorm-workshop,https://github.com/JetBrains/phpstorm-workshop,277,"[exercise, php, phpstorm, phpstorm-workshop, workshop-materials]",277,5,Other
JetBrains/xodus,https://github.com/JetBrains/xodus,936,"[database, db, embedded-database, entity-store, java, key-value, kotlin, log-structured, nosql, schema-less, snapshot-isolation, transactional, xodus, youtrack]",936,14,Kotlin
JetBrains/Nitra,https://github.com/JetBrains/Nitra,548,[],548,0,Other
JetBrains/idea-gitignore,https://github.com/JetBrains/idea-gitignore,1181,"[gitignore, ignore-files, intellij, intellij-plugin, java]",1181,5,IntelliJ
